name,location,type,contact,website
"The Leela Goa",Cavelossim,Luxury Resort,+91-832-287-1234,www.theleela.com
"Grand Hyatt Goa",Bambolim,Luxury Resort,+91-832-271-1234,goa.grand.hyatt.com
"ITC Grand Goa Resort & Spa",Arossim Beach,Luxury Resort,+91-832-275-1234,www.itchotels.com
"Taj Exotica Resort & Spa",Benaulim,Luxury Resort,+91-832-277-1234,www.tajhotels.com
"Park Hyatt Goa Resort & Spa",Arossim,Luxury Resort,+91-832-272-1234,goa.park.hyatt.com
"W Goa",Vagator Beach,Luxury Resort,+91-832-671-8888,www.marriott.com
"Alila Diwa Goa",Majorda,Luxury Resort,+91-832-274-6800,www.alilahotels.com
"The Zuri White Sands",Varca,Beach Resort,+91-832-274-5050,www.thezurihotels.com
"Goa Marriott Resort & Spa",Panaji,City Resort,+91-832-246-3333,www.marriott.com
"Holiday Inn Resort Goa",Cavelossim,Beach Resort,+91-832-287-1888,www.ihg.com
"Novotel Goa Candolim",Candolim,Beach Resort,+91-832-671-1111,www.novotel.com
"Radisson Blu Resort Goa",Cavelossim,Beach Resort,+91-832-287-1800,www.radissonblu.com
"Hard Rock Hotel Goa",Calangute,Beach Resort,+91-832-671-9999,www.hardrockhotels.com
"Cidade de Goa",Vainguinim Beach,Heritage Resort,+91-832-245-4545,www.cidadedegoa.com
"Club Mahindra Varca Beach",Varca,Beach Resort,+91-832-274-5585,www.clubmahindra.com
"The LaLiT Golf & Spa Resort Goa",Canacona,Golf Resort,+91-832-668-4545,www.thelalit.com
"Kenilworth Beach Resort & Spa",Utorda,Beach Resort,+91-832-275-4040,www.kenilworthhotels.com
"Coconut Creek Resort",Bogmalo Beach,Beach Resort,+91-832-255-5055,www.coconutcreek.in
"The Postcard Moira",Moira,Boutique Hotel,+91-832-226-8888,www.postcardresorts.com
"Casa De Goa Boutique Resort",Calangute,Boutique Resort,+91-832-227-6291,www.casadegoa.com
"Vivanta Panaji",Panaji,City Hotel,+91-832-663-3636,www.vivantahotels.com
"Fortune Acron Regina",Candolim,Beach Resort,+91-832-247-9191,www.fortunehotels.in
"Sterling Goa Bardez",Bardez,Hill Resort,+91-832-227-1270,www.sterlingholidays.com
